name,brand,rating,win,loss,total
"Big E","RAW",2500,0,0,0
"Bianca Belair","RAW",2500,0,0,0
"Randy Orton","RAW",2500,0,0,0
"Riddle","RAW",2500,0,0,0
"Edge","RAW",2500,0,0,0
"Nikki A.S.H.","RAW",2500,0,0,0
"Rhea Ripley","RAW",2500,0,0,0
"Keith 'Bearcat' Lee","RAW",2500,0,0,0
"Rey Mysterio","RAW",2500,0,0,0
"Dominik Mysterio","RAW",2500,0,0,0
"Austin Theory","RAW",2500,0,0,0
"Akira Tozawa","RAW",2500,0,0,0
"Chad Gable","RAW",2500,0,0,0
"Otis","RAW",2500,0,0,0
"Apollo Crews","RAW",2500,0,0,0
"Commander Azeez","RAW",2500,0,0,0
"Doudrop","RAW",2500,0,0,0
"Drake Maverick","RAW",2500,0,0,0
"John Morrison","RAW",2500,0,0,0
"Nia Jax","RAW",2500,0,0,0
"R-Truth","RAW",2500,0,0,0
"Reggie","RAW",2500,0,0,0
"T-Bar","RAW",2500,0,0,0
"Zelina Vega","RAW",2500,0,0,0
"Becky Lynch","RAW",2500,0,0,0
"Bobby Lashley","RAW",2500,0,0,0
"MVP","RAW",2500,0,0,0
"Seth Rollins","RAW",2500,0,0,0
"Damian Priest","RAW",2500,0,0,0
"AJ Styles","RAW",2500,0,0,0
"Omos","RAW",2500,0,0,0
"Kevin Owens","RAW",2500,0,0,0
"Angelo Dawkins","RAW",2500,0,0,0
"Montez Ford","RAW",2500,0,0,0
"Finn Balor","RAW",2500,0,0,0
"Karrion Kross","RAW",2500,0,0,0
"Alexa Bliss","RAW",2500,0,0,0
"Carmella","RAW",2500,0,0,0
"Gable Steveson","RAW",2500,0,0,0
"Dana Brooke","RAW",2500,0,0,0
"Dolph Ziggler","RAW",2500,0,0,0
"Robert Roode","RAW",2500,0,0,0
"Cedric Alexander","RAW",2500,0,0,0
"Shelton Benjamin","RAW",2500,0,0,0
"Jaxson Ryker","RAW",2500,0,0,0
"Liv Morgan","RAW",2500,0,0,0
"Mia YIM","RAW",2500,0,0,0
"The Miz","RAW",2500,0,0,0
"Tamina","RAW",2500,0,0,0
"Tegan Nox","RAW",2500,0,0,0
"Veer","RAW",2500,0,0,0
"Asuka","RAW",2500,0,0,0
"Elias","RAW",2500,0,0,0
"Gran Metalik","RAW",2500,0,0,0
"Lince Dorado","RAW",2500,0,0,0
"Eva Marie","RAW",2500,0,0,0
"Lacey Evans","RAW",2500,0,0,0
"Maryse","RAW",2500,0,0,0
"Titus O'Neil","RAW",2500,0,0,0
"Roman Reigns","Smackdown",2500,0,0,0
"Charlotte Flair","Smackdown",2500,0,0,0
"Drew McIntyre","Smackdown",2500,0,0,0
"Kofi Kingston","Smackdown",2500,0,0,0
"Xavier Woods","Smackdown",2500,0,0,0
"Happy Corbin","Smackdown",2500,0,0,0
"Madcap Moss","Smackdown",2500,0,0,0
"Isaiah 'Swerve' Scott","Smackdown",2500,0,0,0
"Ashante 'Thee' Adonis","Smackdown",2500,0,0,0
"Top Dolla","Smackdown",2500,0,0,0
"B-Fab","Smackdown",2500,0,0,0
"Naomi","Smackdown",2500,0,0,0
"Jeff Hardy","Smackdown",2500,0,0,0
"Aliyah","Smackdown",2500,0,0,0
"Drew Gulak","Smackdown",2500,0,0,0
"Mace","Smackdown",2500,0,0,0
"Mansoor","Smackdown",2500,0,0,0
"Mustafa Ali","Smackdown",2500,0,0,0
"Toni Storm","Smackdown",2500,0,0,0
"Jey Uso","Smackdown",2500,0,0,0
"Jimmy Uso","Smackdown",2500,0,0,0
"Sasha Banks","Smackdown",2500,0,0,0
"Nakamura","Smackdown",2500,0,0,0
"Rick Boogs","Smackdown",2500,0,0,0
"Sheamus","Smackdown",2500,0,0,0
"Shayna Baszler","Smackdown",2500,0,0,0
"Xia Li","Smackdown",2500,0,0,0
"Erik","Smackdown",2500,0,0,0
"Ivar","Smackdown",2500,0,0,0
"Ricochet","Smackdown",2500,0,0,0
"Angel Garza","Smackdown",2500,0,0,0
"Humberto Carrillo","Smackdown",2500,0,0,0
"Cesaro","Smackdown",2500,0,0,0
"Ridge Holland","Smackdown",2500,0,0,0
"Sami Zayn","Smackdown",2500,0,0,0
"Jinder Mahal","Smackdown",2500,0,0,0
"Shanky","Smackdown",2500,0,0,0
"Natalya","Smackdown",2500,0,0,0
"Shotzi","Smackdown",2500,0,0,0
"Bayley","Smackdown",2500,0,0,0
"Shane Thorne","Smackdown",2500,0,0,0

